loan_id,customer_id,loan_type,loan_amount,start_date,term_months,interest_rate,status
LOAN400048,CUST031201,Personal,59397,5/6/2025,24,12,Active
LOAN400049,CUST002577,Personal,187398,3/9/2025,24,12,Active
LOAN400050,CUST013285,Home,3212063,9/14/2025,60,7.5,Active
LOAN400051,CUST002409,Personal,204415,10/10/2025,24,12,Active
LOAN400052,CUST047634,Home,4991604,4/13/2025,60,7.5,Active
LOAN400053,CUST024953,Personal,475265,4/27/2025,24,12,Active
LOAN400054,CUST012805,Car,1065825,3/28/2025,36,9.5,Active
LOAN400055,CUST019712,Car,639141,6/27/2025,36,9.5,Active
LOAN400056,CUST033175,Car,377982,10/2/2025,36,9.5,Active
LOAN400057,CUST024856,Car,1004124,6/10/2025,36,9.5,Active
LOAN400058,CUST042543,Home,3673240,3/20/2025,60,7.5,Active
LOAN400059,CUST029158,Home,4359686,10/6/2025,60,7.5,Active
LOAN400060,CUST014861,Home,4332965,2/18/2025,60,7.5,Active
LOAN400061,CUST000638,Personal,101609,6/30/2025,24,12,Active
LOAN400062,CUST005042,Car,788595,9/29/2025,36,9.5,Closed
LOAN400063,CUST012991,Car,1157943,7/22/2025,36,9.5,Active
LOAN400064,CUST031691,Home,3212011,5/10/2025,60,7.5,Active
LOAN400065,CUST009723,Car,432644,11/15/2025,36,9.5,Active
LOAN400066,CUST004557,Car,1039660,6/21/2025,36,9.5,Active
LOAN400067,CUST041219,Car,1288918,4/8/2025,36,9.5,Active
LOAN400068,CUST033423,Car,1278263,10/29/2025,36,9.5,Active
LOAN400069,CUST012099,Home,2286489,11/21/2025,60,7.5,Active
LOAN400070,CUST014991,Personal,446175,2/15/2025,24,12,Active
LOAN400071,CUST018848,Home,2997063,9/15/2025,60,7.5,Closed
LOAN400072,CUST037518,Home,4854985,4/7/2025,60,7.5,Active
LOAN400073,CUST000241,Home,3456932,8/6/2025,60,7.5,Active
LOAN400074,CUST034027,Personal,130879,1/21/2025,24,12,Active
LOAN400075,CUST013223,Personal,356683,11/9/2025,24,12,Active
LOAN400076,CUST037954,Personal,438803,8/7/2025,24,12,Active
LOAN400077,CUST033121,Car,1145979,5/17/2025,36,9.5,Active
LOAN400078,CUST016019,Home,1051299,5/10/2025,60,7.5,Active
LOAN400079,CUST021199,Car,1168660,2/20/2025,36,9.5,Active
LOAN400080,CUST032690,Home,4116534,4/8/2025,60,7.5,Closed
LOAN400081,CUST042060,Car,516373,9/3/2025,36,9.5,Active
LOAN400082,CUST006330,Car,1206207,10/9/2025,36,9.5,Active
LOAN400083,CUST024154,Car,1433870,7/28/2025,36,9.5,Active
LOAN400084,CUST036244,Personal,59947,3/14/2025,24,12,Active
LOAN400085,CUST015275,Personal,227088,5/11/2025,24,12,Active
LOAN400086,CUST031468,Home,4004711,10/1/2025,60,7.5,Active
LOAN400087,CUST031295,Personal,155517,1/19/2025,24,12,Active
LOAN400088,CUST020069,Car,380483,4/18/2025,36,9.5,Active
LOAN400089,CUST046130,Car,1064941,5/25/2025,36,9.5,Active
LOAN400090,CUST032674,Personal,193137,3/14/2025,24,12,Active
LOAN400091,CUST028136,Personal,439705,6/12/2025,24,12,Active
LOAN400092,CUST026168,Personal,65088,1/17/2025,24,12,Active
LOAN400093,CUST047365,Home,4097272,7/19/2025,60,7.5,Active
LOAN400094,CUST015366,Car,872368,3/27/2025,36,9.5,Closed
LOAN400095,CUST027532,Personal,243880,10/5/2025,24,12,Active
LOAN400096,CUST028783,Car,709105,10/28/2025,36,9.5,Active
LOAN400097,CUST039853,Car,1154291,1/16/2025,36,9.5,Active
LOAN400098,CUST023288,Home,873125,7/24/2025,60,7.5,Closed
LOAN400099,CUST015278,Personal,334395,7/15/2025,24,12,Active
LOAN400100,CUST024842,Home,4163760,12/14/2025,60,7.5,Active
LOAN400101,CUST019810,Car,411188,2/11/2025,36,9.5,Active
LOAN400102,CUST034089,Personal,112672,8/25/2025,24,12,Active
LOAN400103,CUST040875,Personal,339457,5/6/2025,24,12,Active
LOAN400104,CUST016373,Home,2233926,9/18/2025,60,7.5,Active
LOAN400105,CUST042797,Home,3979656,7/19/2025,60,7.5,Active
LOAN400106,CUST012608,Home,3189283,1/31/2025,60,7.5,Active
LOAN400107,CUST026804,Home,1019749,3/12/2025,60,7.5,Active
LOAN400108,CUST007092,Personal,241160,5/2/2025,24,12,Active
LOAN400109,CUST036349,Personal,109304,1/16/2025,24,12,Active
LOAN400110,CUST049178,Car,689680,3/24/2025,36,9.5,Active
LOAN400111,CUST006400,Personal,86136,2/13/2025,24,12,Active
LOAN400112,CUST020973,Personal,317467,2/9/2025,24,12,Active
LOAN400113,CUST015605,Car,1147701,4/12/2025,36,9.5,Active
LOAN400114,CUST002895,Personal,382578,2/16/2025,24,12,Active
LOAN400115,CUST001253,Home,1039175,5/30/2025,60,7.5,Active
LOAN400116,CUST012795,Personal,309783,7/25/2025,24,12,Active
LOAN400117,CUST027936,Personal,274266,5/4/2025,24,12,Active
LOAN400118,CUST013997,Home,1647006,4/27/2025,60,7.5,Active
LOAN400119,CUST013956,Personal,57019,1/27/2025,24,12,Closed
LOAN400120,CUST029329,Home,4179385,11/12/2025,60,7.5,Active
LOAN400121,CUST043229,Home,4423670,12/11/2025,60,7.5,Active
LOAN400122,CUST045235,Home,3974181,5/10/2025,60,7.5,Active
LOAN400123,CUST040980,Personal,261096,6/5/2025,24,12,Active
LOAN400124,CUST045166,Car,888422,10/7/2025,36,9.5,Active
LOAN400125,CUST036230,Home,581367,4/26/2025,60,7.5,Active
LOAN400126,CUST009439,Home,1693685,3/22/2025,60,7.5,Active
LOAN400127,CUST003457,Home,3563486,2/25/2025,60,7.5,Active
LOAN400128,CUST038995,Car,690140,8/19/2025,36,9.5,Active
LOAN400129,CUST026140,Home,4753733,5/2/2025,60,7.5,Active
LOAN400130,CUST039369,Car,416164,12/12/2025,36,9.5,Active
LOAN400131,CUST000749,Home,1637375,10/8/2025,60,7.5,Active
LOAN400132,CUST044559,Car,1341898,2/25/2025,36,9.5,Active
LOAN400133,CUST046542,Personal,402869,9/16/2025,24,12,Active
LOAN400134,CUST006359,Personal,90528,10/30/2025,24,12,Active
LOAN400135,CUST012823,Personal,241308,3/8/2025,24,12,Active
LOAN400136,CUST005509,Home,4143161,4/1/2025,60,7.5,Active
LOAN400137,CUST015615,Car,846033,11/20/2025,36,9.5,Active
LOAN400138,CUST046287,Personal,163758,3/5/2025,24,12,Active
LOAN400139,CUST012641,Home,1256518,9/1/2025,60,7.5,Active
LOAN400140,CUST034855,Personal,230874,5/4/2025,24,12,Active
LOAN400141,CUST012636,Home,1780278,8/6/2025,60,7.5,Active
LOAN400142,CUST004948,Car,344683,10/21/2025,36,9.5,Active
LOAN400143,CUST049059,Personal,345078,1/21/2025,24,12,Active
LOAN400144,CUST027886,Personal,110403,9/24/2025,24,12,Active
LOAN400145,CUST041765,Personal,247562,5/2/2025,24,12,Active
LOAN400146,CUST020049,Car,946617,5/25/2025,36,9.5,Active
LOAN400147,CUST024057,Car,1049767,9/19/2025,36,9.5,Active
LOAN400148,CUST002008,Personal,405042,3/9/2025,24,12,Active
LOAN400149,CUST028258,Personal,180266,5/16/2025,24,12,Active
LOAN400150,CUST013729,Personal,396849,11/5/2025,24,12,Active
LOAN400151,CUST015493,Personal,70186,10/13/2025,24,12,Active
LOAN400152,CUST038235,Personal,306195,10/17/2025,24,12,Active
LOAN400153,CUST045414,Car,836988,4/12/2025,36,9.5,Active
LOAN400154,CUST027757,Personal,437919,3/24/2025,24,12,Active
LOAN400155,CUST038072,Car,960343,2/1/2025,36,9.5,Active
LOAN400156,CUST026815,Personal,151332,7/27/2025,24,12,Active
LOAN400157,CUST012782,Personal,314204,7/3/2025,24,12,Active
LOAN400158,CUST043375,Home,2235094,3/26/2025,60,7.5,Active
LOAN400159,CUST040680,Personal,89753,3/26/2025,24,12,Active
LOAN400160,CUST023824,Car,720193,3/17/2025,36,9.5,Active
LOAN400161,CUST037484,Home,4123382,5/6/2025,60,7.5,Active
LOAN400162,CUST039142,Home,2355101,3/1/2025,60,7.5,Active
LOAN400163,CUST007886,Home,3561387,6/25/2025,60,7.5,Active
LOAN400164,CUST006486,Personal,223510,3/2/2025,24,12,Active
LOAN400165,CUST040850,Personal,283289,5/17/2025,24,12,Active
LOAN400166,CUST003049,Car,553328,10/21/2025,36,9.5,Active
LOAN400167,CUST016972,Personal,81897,4/2/2025,24,12,Active
LOAN400168,CUST022419,Home,3468092,2/4/2025,60,7.5,Active
LOAN400169,CUST021989,Home,4861406,6/7/2025,60,7.5,Active
LOAN400170,CUST029706,Car,575898,10/23/2025,36,9.5,Active
LOAN400171,CUST049643,Car,942023,4/6/2025,36,9.5,Active
LOAN400172,CUST012077,Personal,105750,2/7/2025,24,12,Active
LOAN400173,CUST008399,Home,4779156,5/7/2025,60,7.5,Active
LOAN400174,CUST049452,Car,1308067,3/7/2025,36,9.5,Active
LOAN400175,CUST019269,Car,535681,2/19/2025,36,9.5,Active
LOAN400176,CUST044210,Home,1131865,6/2/2025,60,7.5,Active
LOAN400177,CUST031302,Personal,134656,4/29/2025,24,12,Active
LOAN400178,CUST003853,Home,4707207,4/27/2025,60,7.5,Active
LOAN400179,CUST000369,Home,4545837,7/10/2025,60,7.5,Active
LOAN400180,CUST041367,Car,758453,12/6/2025,36,9.5,Active
LOAN400181,CUST039940,Car,1123482,9/28/2025,36,9.5,Active
LOAN400182,CUST001281,Personal,152375,12/6/2025,24,12,Active
LOAN400183,CUST036958,Home,4473178,12/3/2025,60,7.5,Active
LOAN400184,CUST036150,Home,3677878,1/23/2025,60,7.5,Active
LOAN400185,CUST034809,Car,1268355,4/24/2025,36,9.5,Active
LOAN400186,CUST006968,Home,4830064,1/17/2025,60,7.5,Active
LOAN400187,CUST010283,Car,1117727,7/25/2025,36,9.5,Active
LOAN400188,CUST039237,Personal,307578,12/1/2025,24,12,Active
LOAN400189,CUST004492,Home,730227,5/27/2025,60,7.5,Active
LOAN400190,CUST044293,Personal,89503,6/24/2025,24,12,Active
LOAN400191,CUST014546,Car,1001248,8/12/2025,36,9.5,Active
LOAN400192,CUST017021,Car,790850,3/6/2025,36,9.5,Active
LOAN400193,CUST044585,Personal,486173,10/31/2025,24,12,Active
LOAN400194,CUST007892,Car,1075751,8/28/2025,36,9.5,Active
LOAN400195,CUST021253,Personal,270617,6/12/2025,24,12,Active
LOAN400196,CUST020128,Car,1449363,11/2/2025,36,9.5,Active
LOAN400197,CUST020043,Car,1209615,1/14/2025,36,9.5,Closed
LOAN400198,CUST014667,Car,755406,11/7/2025,36,9.5,Active
LOAN400199,CUST008993,Personal,133539,8/3/2025,24,12,Active
LOAN400200,CUST024051,Personal,75602,2/9/2025,24,12,Active
LOAN400201,CUST004231,Home,4732569,8/26/2025,60,7.5,Active
LOAN400202,CUST045719,Personal,142816,1/20/2025,24,12,Active
LOAN400203,CUST045640,Car,1145743,6/11/2025,36,9.5,Active
LOAN400204,CUST039652,Personal,225014,10/13/2025,24,12,Active
LOAN400205,CUST038914,Home,4708132,8/14/2025,60,7.5,Active
LOAN400206,CUST010855,Car,1186677,10/6/2025,36,9.5,Active
LOAN400207,CUST034257,Home,2440888,2/16/2025,60,7.5,Active
LOAN400208,CUST024409,Car,1440831,11/3/2025,36,9.5,Active
LOAN400209,CUST009498,Car,776246,4/26/2025,36,9.5,Closed
LOAN400210,CUST047379,Personal,80310,7/21/2025,24,12,Active
LOAN400211,CUST022291,Car,455245,11/13/2025,36,9.5,Closed
LOAN400212,CUST024917,Personal,298573,1/25/2025,24,12,Closed
LOAN400213,CUST018929,Home,2306679,8/7/2025,60,7.5,Active
LOAN400214,CUST046631,Home,3290521,6/1/2025,60,7.5,Active
LOAN400215,CUST026057,Home,989737,9/11/2025,60,7.5,Active
LOAN400216,CUST007382,Car,1449651,3/15/2025,36,9.5,Active
LOAN400217,CUST021839,Home,529263,10/7/2025,60,7.5,Active
LOAN400218,CUST034944,Home,2534448,5/29/2025,60,7.5,Active
LOAN400219,CUST038950,Car,896615,10/15/2025,36,9.5,Active
LOAN400220,CUST035643,Home,1411863,2/11/2025,60,7.5,Active
LOAN400221,CUST047756,Car,851574,3/26/2025,36,9.5,Active
LOAN400222,CUST020520,Car,383312,5/3/2025,36,9.5,Active
LOAN400223,CUST022361,Home,1526701,1/29/2025,60,7.5,Active
LOAN400224,CUST035571,Home,2955522,10/7/2025,60,7.5,Closed
LOAN400225,CUST048510,Car,1419400,7/22/2025,36,9.5,Active
LOAN400226,CUST004110,Personal,311582,8/2/2025,24,12,Active
LOAN400227,CUST022826,Personal,131418,6/24/2025,24,12,Active
LOAN400228,CUST040641,Personal,310260,8/24/2025,24,12,Active
LOAN400229,CUST000303,Car,1231903,8/9/2025,36,9.5,Active
LOAN400230,CUST039307,Personal,496630,4/18/2025,24,12,Active
LOAN400231,CUST017607,Personal,283175,5/22/2025,24,12,Active
LOAN400232,CUST045914,Home,1943395,6/4/2025,60,7.5,Active
LOAN400233,CUST025365,Car,347715,7/3/2025,36,9.5,Active
LOAN400234,CUST017780,Home,3324045,6/11/2025,60,7.5,Active
LOAN400235,CUST013593,Home,1242563,3/22/2025,60,7.5,Active
LOAN400236,CUST006712,Home,3114503,7/29/2025,60,7.5,Active
LOAN400237,CUST021568,Car,952668,8/2/2025,36,9.5,Active
LOAN400238,CUST045822,Home,3762142,4/23/2025,60,7.5,Active
LOAN400239,CUST011169,Personal,234195,4/29/2025,24,12,Active
LOAN400240,CUST003864,Car,1347177,10/19/2025,36,9.5,Active
LOAN400241,CUST000970,Personal,446914,5/10/2025,24,12,Active
LOAN400242,CUST021227,Car,1044750,11/5/2025,36,9.5,Active
LOAN400243,CUST045570,Personal,382982,8/29/2025,24,12,Active
LOAN400244,CUST009558,Home,3471810,10/20/2025,60,7.5,Active
LOAN400245,CUST039803,Personal,159485,2/11/2025,24,12,Active
LOAN400246,CUST013700,Personal,400229,1/29/2025,24,12,Active
LOAN400247,CUST033065,Car,961304,10/12/2025,36,9.5,Active
LOAN400248,CUST026545,Personal,444768,4/18/2025,24,12,Active
LOAN400249,CUST033172,Personal,231912,5/11/2025,24,12,Active
LOAN400250,CUST047744,Personal,259102,10/18/2025,24,12,Active
LOAN400251,CUST028343,Car,954901,8/7/2025,36,9.5,Active
LOAN400252,CUST038756,Home,1478858,7/27/2025,60,7.5,Active
LOAN400253,CUST027392,Home,1579479,6/21/2025,60,7.5,Active
LOAN400254,CUST034298,Home,3690489,4/19/2025,60,7.5,Active
LOAN400255,CUST042430,Personal,142904,2/21/2025,24,12,Active
LOAN400256,CUST003188,Home,4878669,1/15/2025,60,7.5,Active
LOAN400257,CUST021754,Home,4366525,3/8/2025,60,7.5,Active
LOAN400258,CUST046259,Home,1397361,1/29/2025,60,7.5,Active
LOAN400259,CUST027583,Home,2344998,9/9/2025,60,7.5,Active
LOAN400260,CUST031374,Home,3032148,8/31/2025,60,7.5,Active
LOAN400261,CUST039320,Personal,145318,5/18/2025,24,12,Closed
LOAN400262,CUST033483,Home,3424011,10/9/2025,60,7.5,Active
LOAN400263,CUST006746,Home,3005771,8/7/2025,60,7.5,Active
LOAN400264,CUST003691,Personal,51935,2/3/2025,24,12,Active
LOAN400265,CUST013313,Personal,426696,4/24/2025,24,12,Active
LOAN400266,CUST024840,Home,2464489,1/14/2025,60,7.5,Active
LOAN400267,CUST010322,Personal,424418,1/30/2025,24,12,Active
LOAN400268,CUST031300,Car,1497301,12/11/2025,36,9.5,Active
LOAN400269,CUST021615,Car,334024,3/10/2025,36,9.5,Closed
LOAN400270,CUST018474,Car,410574,3/3/2025,36,9.5,Active
LOAN400271,CUST032353,Car,366897,5/24/2025,36,9.5,Active
LOAN400272,CUST028615,Personal,308372,10/22/2025,24,12,Active
LOAN400273,CUST026983,Personal,244353,7/31/2025,24,12,Active
LOAN400274,CUST016545,Personal,181596,9/14/2025,24,12,Active
LOAN400275,CUST031442,Personal,204759,7/16/2025,24,12,Active
LOAN400276,CUST033851,Personal,244303,6/24/2025,24,12,Active
LOAN400277,CUST044643,Home,548065,7/20/2025,60,7.5,Active
LOAN400278,CUST017428,Home,4294099,3/6/2025,60,7.5,Active
LOAN400279,CUST029233,Home,4738093,3/22/2025,60,7.5,Active
LOAN400280,CUST016421,Home,1053720,2/11/2025,60,7.5,Active
LOAN400281,CUST012156,Car,1425740,7/13/2025,36,9.5,Active
LOAN400282,CUST036556,Home,4316082,8/15/2025,60,7.5,Active
LOAN400283,CUST000638,Personal,147578,12/1/2025,24,12,Active
LOAN400284,CUST037733,Home,2664131,3/2/2025,60,7.5,Closed
LOAN400285,CUST028648,Home,1170177,12/10/2025,60,7.5,Active
LOAN400286,CUST036987,Car,312817,11/29/2025,36,9.5,Active
LOAN400287,CUST005587,Personal,221212,2/11/2025,24,12,Active
LOAN400288,CUST036293,Personal,327973,3/15/2025,24,12,Active
LOAN400289,CUST011808,Personal,384808,6/11/2025,24,12,Active
LOAN400290,CUST012049,Home,797420,11/14/2025,60,7.5,Active
LOAN400291,CUST031607,Personal,126387,8/25/2025,24,12,Active
LOAN400292,CUST038922,Personal,404255,12/9/2025,24,12,Active
LOAN400293,CUST041413,Car,1267243,7/22/2025,36,9.5,Active
LOAN400294,CUST025459,Home,2278797,1/18/2025,60,7.5,Active
LOAN400295,CUST000204,Car,1143113,10/6/2025,36,9.5,Active
LOAN400296,CUST007354,Car,1225573,2/6/2025,36,9.5,Active
LOAN400297,CUST017584,Home,1452468,10/5/2025,60,7.5,Active
LOAN400298,CUST028737,Personal,450587,9/22/2025,24,12,Active
LOAN400299,CUST037727,Home,4970524,3/14/2025,60,7.5,Active
LOAN400300,CUST013546,Personal,412544,8/23/2025,24,12,Active
LOAN400301,CUST010422,Car,1042473,12/8/2025,36,9.5,Closed
LOAN400302,CUST041837,Personal,60027,6/17/2025,24,12,Active
LOAN400303,CUST023138,Car,469743,10/4/2025,36,9.5,Closed
LOAN400304,CUST047591,Personal,423982,1/24/2025,24,12,Active
LOAN400305,CUST015268,Home,3714553,3/5/2025,60,7.5,Active
LOAN400306,CUST000544,Home,1232080,9/15/2025,60,7.5,Active
LOAN400307,CUST000981,Car,1303820,2/12/2025,36,9.5,Active
LOAN400308,CUST049313,Car,1391030,8/25/2025,36,9.5,Active
LOAN400309,CUST004412,Home,2159338,6/9/2025,60,7.5,Active
LOAN400310,CUST043356,Personal,130189,8/10/2025,24,12,Active
LOAN400311,CUST037693,Personal,124189,7/7/2025,24,12,Active
LOAN400312,CUST018320,Personal,494131,4/6/2025,24,12,Active
LOAN400313,CUST031761,Car,454120,9/5/2025,36,9.5,Active
LOAN400314,CUST031341,Personal,92573,1/16/2025,24,12,Active
LOAN400315,CUST003385,Car,1334655,11/19/2025,36,9.5,Active
LOAN400316,CUST047591,Car,896589,11/15/2025,36,9.5,Active
LOAN400317,CUST001701,Home,1464502,8/16/2025,60,7.5,Active
LOAN400318,CUST016772,Personal,296749,8/4/2025,24,12,Active
LOAN400319,CUST029231,Personal,327224,3/21/2025,24,12,Active
LOAN400320,CUST042509,Home,3618768,10/13/2025,60,7.5,Active
LOAN400321,CUST007219,Car,580233,1/17/2025,36,9.5,Active
LOAN400322,CUST000196,Car,564549,2/23/2025,36,9.5,Active
LOAN400323,CUST022673,Home,3483870,3/2/2025,60,7.5,Active
LOAN400324,CUST030674,Home,4672933,4/23/2025,60,7.5,Active
LOAN400325,CUST025159,Personal,148682,5/9/2025,24,12,Active
LOAN400326,CUST041074,Car,1079471,5/15/2025,36,9.5,Active
LOAN400327,CUST018804,Home,1508307,3/26/2025,60,7.5,Active
LOAN400328,CUST037769,Car,653307,8/25/2025,36,9.5,Active
LOAN400329,CUST028468,Car,1020282,10/7/2025,36,9.5,Active
LOAN400330,CUST014087,Car,1360666,8/19/2025,36,9.5,Active
LOAN400331,CUST006502,Car,1326442,3/25/2025,36,9.5,Active
LOAN400332,CUST001335,Home,3032924,7/13/2025,60,7.5,Active
LOAN400333,CUST036225,Personal,277842,1/26/2025,24,12,Active
LOAN400334,CUST031805,Car,1324505,7/2/2025,36,9.5,Active
LOAN400335,CUST042123,Car,463883,1/29/2025,36,9.5,Active
LOAN400336,CUST017350,Home,731587,7/31/2025,60,7.5,Active
LOAN400337,CUST022332,Car,772432,9/15/2025,36,9.5,Active
LOAN400338,CUST034515,Home,1216845,11/14/2025,60,7.5,Active
LOAN400339,CUST001941,Home,3360762,6/22/2025,60,7.5,Active
LOAN400340,CUST014216,Personal,488284,5/2/2025,24,12,Active
LOAN400341,CUST042835,Home,3647563,9/17/2025,60,7.5,Closed
LOAN400342,CUST029707,Personal,191702,11/1/2025,24,12,Active
LOAN400343,CUST026870,Car,774215,4/6/2025,36,9.5,Active
LOAN400344,CUST024945,Car,1149933,4/2/2025,36,9.5,Active
LOAN400345,CUST020015,Personal,111040,6/27/2025,24,12,Active
LOAN400346,CUST046972,Car,412127,7/24/2025,36,9.5,Active
LOAN400347,CUST029482,Home,3500423,5/2/2025,60,7.5,Active
LOAN400348,CUST031131,Car,882518,8/8/2025,36,9.5,Active
LOAN400349,CUST038659,Personal,472663,11/14/2025,24,12,Active
LOAN400350,CUST008868,Personal,285918,7/14/2025,24,12,Active
LOAN400351,CUST013856,Personal,482865,10/10/2025,24,12,Active
LOAN400352,CUST031639,Car,1496330,10/13/2025,36,9.5,Active
LOAN400353,CUST016160,Home,1486397,9/25/2025,60,7.5,Closed
LOAN400354,CUST004698,Home,2786722,9/28/2025,60,7.5,Active
LOAN400355,CUST003350,Home,4196319,10/12/2025,60,7.5,Active
LOAN400356,CUST044859,Personal,183066,8/12/2025,24,12,Active
LOAN400357,CUST003521,Car,357069,3/13/2025,36,9.5,Active
LOAN400358,CUST042079,Personal,193966,11/14/2025,24,12,Active
LOAN400359,CUST030050,Personal,340266,1/26/2025,24,12,Active
LOAN400360,CUST035812,Home,1473863,12/6/2025,60,7.5,Active
LOAN400361,CUST008719,Car,1107954,8/20/2025,36,9.5,Active
LOAN400362,CUST040682,Personal,255643,2/12/2025,24,12,Active
LOAN400363,CUST012364,Personal,415517,9/21/2025,24,12,Active
LOAN400364,CUST018488,Car,1434778,10/26/2025,36,9.5,Active
LOAN400365,CUST007379,Personal,447624,2/22/2025,24,12,Active
LOAN400366,CUST023590,Car,595048,11/13/2025,36,9.5,Active
LOAN400367,CUST033958,Car,1164079,10/12/2025,36,9.5,Active
LOAN400368,CUST019314,Car,667048,11/28/2025,36,9.5,Active
LOAN400369,CUST018277,Home,621915,12/6/2025,60,7.5,Active
LOAN400370,CUST004350,Home,3290642,8/7/2025,60,7.5,Active
LOAN400371,CUST038105,Personal,75249,11/29/2025,24,12,Active
LOAN400372,CUST049884,Car,1134158,2/13/2025,36,9.5,Active
LOAN400373,CUST022768,Car,1496368,5/29/2025,36,9.5,Active
LOAN400374,CUST011966,Car,1475623,7/5/2025,36,9.5,Active
LOAN400375,CUST016386,Home,3432266,8/25/2025,60,7.5,Active
LOAN400376,CUST025746,Car,527222,12/6/2025,36,9.5,Active
LOAN400377,CUST047948,Car,418005,3/25/2025,36,9.5,Active
LOAN400378,CUST041879,Car,1270664,10/9/2025,36,9.5,Active
LOAN400379,CUST049642,Car,353930,2/22/2025,36,9.5,Active
LOAN400380,CUST033359,Personal,416818,6/4/2025,24,12,Active
LOAN400381,CUST013064,Personal,317907,2/28/2025,24,12,Active
LOAN400382,CUST018222,Car,1496888,3/26/2025,36,9.5,Active
LOAN400383,CUST002087,Home,4641985,4/9/2025,60,7.5,Closed
LOAN400384,CUST039158,Personal,249762,8/14/2025,24,12,Active
LOAN400385,CUST007489,Personal,140584,2/21/2025,24,12,Active
LOAN400386,CUST001593,Car,872786,11/7/2025,36,9.5,Active
LOAN400387,CUST026595,Car,988550,7/15/2025,36,9.5,Active
LOAN400388,CUST003098,Home,3669501,7/12/2025,60,7.5,Active
LOAN400389,CUST026472,Home,920317,1/24/2025,60,7.5,Active
LOAN400390,CUST026961,Personal,426836,11/19/2025,24,12,Active
LOAN400391,CUST010287,Home,2056590,2/16/2025,60,7.5,Active
LOAN400392,CUST003977,Car,693498,7/25/2025,36,9.5,Active
LOAN400393,CUST037749,Car,893375,5/16/2025,36,9.5,Active
LOAN400394,CUST008376,Home,2065042,3/8/2025,60,7.5,Active
LOAN400395,CUST024768,Car,1218277,8/22/2025,36,9.5,Active
LOAN400396,CUST005429,Home,3227943,10/31/2025,60,7.5,Active
