cc_id,customer_id,card_type,limit,usage_last_month,status
CC500055,CUST001914,Gold,100000,41014,Active
CC500056,CUST005160,Platinum,200000,165163,Active
CC500057,CUST027534,Platinum,200000,59885,Active
CC500058,CUST037337,Classic,50000,9495,Active
CC500059,CUST014318,Gold,100000,85539,Active
CC500060,CUST022726,Gold,100000,89262,Active
CC500061,CUST030522,Gold,100000,6133,Active
CC500062,CUST036344,Classic,50000,43304,Active
CC500063,CUST018918,Classic,50000,46255,Active
CC500064,CUST033847,Gold,100000,22995,Active
CC500065,CUST038263,Gold,100000,19797,Active
CC500066,CUST032881,Gold,100000,40411,Active
CC500067,CUST020655,Gold,100000,48866,Active
CC500068,CUST005834,Gold,100000,32542,Active
CC500069,CUST004529,Classic,50000,30151,Active
CC500070,CUST005930,Gold,100000,75306,Active
CC500071,CUST034017,Gold,100000,38467,Active
CC500072,CUST006561,Gold,100000,25162,Active
CC500073,CUST041237,Platinum,200000,101926,Active
CC500074,CUST006332,Classic,50000,5700,Active
CC500075,CUST015100,Platinum,200000,60583,Active
CC500076,CUST042383,Platinum,200000,131100,Active
CC500077,CUST025916,Gold,100000,41470,Active
CC500078,CUST046864,Classic,50000,2484,Active
CC500079,CUST049627,Platinum,200000,21387,Active
CC500080,CUST005400,Gold,100000,14607,Active
CC500081,CUST025568,Classic,50000,22775,Active
CC500082,CUST018351,Classic,50000,30641,Active
CC500083,CUST031472,Classic,50000,11885,Active
CC500084,CUST031493,Platinum,200000,155336,Active
CC500085,CUST014658,Gold,100000,93000,Active
CC500086,CUST030492,Classic,50000,41152,Active
CC500087,CUST037402,Platinum,200000,127319,Active
CC500088,CUST015509,Classic,50000,29635,Active
CC500089,CUST011924,Platinum,200000,193246,Active
CC500090,CUST028133,Platinum,200000,47351,Active
CC500091,CUST038934,Gold,100000,70526,Active
CC500092,CUST001528,Classic,50000,1043,Active
CC500093,CUST046641,Platinum,200000,88115,Active
CC500094,CUST037237,Platinum,200000,160201,Active
CC500095,CUST041495,Classic,50000,8982,Active
CC500096,CUST014225,Platinum,200000,42756,Active
CC500097,CUST040072,Classic,50000,6038,Active
CC500098,CUST049978,Platinum,200000,131991,Active
CC500099,CUST004368,Platinum,200000,87592,Active
CC500100,CUST021992,Platinum,200000,66174,Active
CC500101,CUST001901,Classic,50000,33335,Active
CC500102,CUST015031,Platinum,200000,18216,Active
CC500103,CUST022353,Platinum,200000,136916,Active
CC500104,CUST023739,Gold,100000,13677,Active
CC500105,CUST044659,Classic,50000,28038,Active
CC500106,CUST007400,Platinum,200000,57695,Active
CC500107,CUST041460,Platinum,200000,131190,Active
CC500108,CUST029025,Platinum,200000,45745,Active
CC500109,CUST011355,Platinum,200000,51729,Active
CC500110,CUST011960,Gold,100000,28187,Active
CC500111,CUST036539,Classic,50000,49024,Active
CC500112,CUST005572,Classic,50000,33321,Active
CC500113,CUST042859,Platinum,200000,170665,Active
CC500114,CUST016218,Classic,50000,44124,Active
CC500115,CUST048270,Classic,50000,4521,Active
CC500116,CUST049070,Gold,100000,77084,Active
CC500117,CUST031901,Gold,100000,32636,Blocked
CC500118,CUST020793,Platinum,200000,36137,Active
CC500119,CUST010616,Classic,50000,31588,Active
CC500120,CUST037698,Platinum,200000,76668,Active
CC500121,CUST020025,Classic,50000,1232,Active
CC500122,CUST040574,Gold,100000,78538,Active
CC500123,CUST047543,Platinum,200000,129511,Active
CC500124,CUST017782,Classic,50000,46573,Active
CC500125,CUST042274,Gold,100000,34528,Active
CC500126,CUST035599,Platinum,200000,138286,Blocked
CC500127,CUST029565,Classic,50000,20998,Active
CC500128,CUST027635,Classic,50000,11761,Active
CC500129,CUST011971,Platinum,200000,147454,Active
CC500130,CUST028325,Gold,100000,38886,Active
CC500131,CUST006509,Platinum,200000,149656,Active
CC500132,CUST003756,Classic,50000,5289,Active
CC500133,CUST014541,Gold,100000,3581,Active
CC500134,CUST033147,Classic,50000,29326,Active
CC500135,CUST022787,Platinum,200000,122570,Active
CC500136,CUST027320,Classic,50000,21863,Active
CC500137,CUST045022,Platinum,200000,166745,Blocked
CC500138,CUST044757,Classic,50000,35637,Active
CC500139,CUST025437,Platinum,200000,125812,Active
CC500140,CUST009128,Classic,50000,33711,Active
CC500141,CUST028615,Platinum,200000,12816,Active
CC500142,CUST004292,Platinum,200000,35379,Active
CC500143,CUST043155,Gold,100000,43069,Active
CC500144,CUST028085,Classic,50000,12401,Active
CC500145,CUST007464,Classic,50000,10947,Active
CC500146,CUST036053,Gold,100000,22851,Active
CC500147,CUST046705,Gold,100000,13883,Active
CC500148,CUST031634,Gold,100000,81920,Active
CC500149,CUST009672,Gold,100000,66182,Active
CC500150,CUST023027,Platinum,200000,26772,Active
CC500151,CUST047152,Classic,50000,18504,Active
CC500152,CUST026570,Platinum,200000,187487,Active
CC500153,CUST038526,Platinum,200000,60867,Active
CC500154,CUST016482,Platinum,200000,61118,Active
CC500155,CUST048633,Platinum,200000,163441,Blocked
CC500156,CUST035197,Platinum,200000,7142,Active
CC500157,CUST030856,Classic,50000,25640,Active
CC500158,CUST003403,Gold,100000,96683,Active
CC500159,CUST046600,Gold,100000,29540,Active
CC500160,CUST014865,Classic,50000,25650,Active
CC500161,CUST033528,Platinum,200000,97226,Active
CC500162,CUST035734,Platinum,200000,181789,Active
CC500163,CUST000845,Gold,100000,28923,Active
CC500164,CUST038597,Platinum,200000,5463,Active
CC500165,CUST036156,Classic,50000,25185,Active
CC500166,CUST007023,Platinum,200000,182151,Active
CC500167,CUST014966,Classic,50000,22903,Active
CC500168,CUST010737,Gold,100000,2080,Active
CC500169,CUST026325,Gold,100000,38057,Active
CC500170,CUST045360,Gold,100000,42729,Active
CC500171,CUST020415,Gold,100000,26168,Active
CC500172,CUST044320,Platinum,200000,185774,Active
CC500173,CUST000822,Classic,50000,9339,Active
CC500174,CUST026288,Gold,100000,22718,Active
CC500175,CUST043785,Gold,100000,85370,Active
CC500176,CUST006234,Gold,100000,48773,Active
CC500177,CUST022684,Classic,50000,39433,Active
CC500178,CUST045752,Gold,100000,76054,Active
CC500179,CUST030555,Platinum,200000,131236,Active
CC500180,CUST042125,Platinum,200000,9458,Active
CC500181,CUST009237,Platinum,200000,10478,Active
CC500182,CUST031098,Gold,100000,17286,Active
CC500183,CUST007181,Gold,100000,57753,Active
CC500184,CUST025492,Gold,100000,82129,Active
CC500185,CUST020723,Gold,100000,61317,Active
CC500186,CUST007615,Classic,50000,2277,Active
CC500187,CUST036102,Gold,100000,66426,Active
CC500188,CUST034428,Classic,50000,28097,Active
CC500189,CUST042584,Platinum,200000,191722,Active
CC500190,CUST029209,Platinum,200000,27971,Active
CC500191,CUST005010,Gold,100000,8786,Active
CC500192,CUST045082,Classic,50000,11665,Active
CC500193,CUST017045,Platinum,200000,40081,Active
CC500194,CUST024382,Classic,50000,32448,Active
CC500195,CUST042565,Gold,100000,75948,Active
CC500196,CUST043058,Classic,50000,43793,Active
CC500197,CUST031228,Classic,50000,15795,Active
CC500198,CUST002932,Gold,100000,72090,Active
CC500199,CUST017622,Gold,100000,53810,Active
CC500200,CUST042695,Platinum,200000,821,Active
CC500201,CUST009709,Platinum,200000,165928,Active
CC500202,CUST014494,Platinum,200000,61236,Active
CC500203,CUST007988,Classic,50000,47591,Active
CC500204,CUST019455,Platinum,200000,111902,Active
CC500205,CUST039180,Platinum,200000,174876,Active
CC500206,CUST047374,Platinum,200000,140821,Active
CC500207,CUST017762,Classic,50000,29369,Active
CC500208,CUST002494,Gold,100000,65354,Active
CC500209,CUST021651,Platinum,200000,64524,Active
CC500210,CUST005026,Classic,50000,26762,Active
CC500211,CUST029378,Platinum,200000,163902,Active
CC500212,CUST042888,Platinum,200000,15606,Active
CC500213,CUST010517,Classic,50000,10562,Active
CC500214,CUST047914,Classic,50000,12539,Active
CC500215,CUST047603,Classic,50000,17489,Active
CC500216,CUST017967,Gold,100000,83506,Active
CC500217,CUST030709,Classic,50000,49796,Active
CC500218,CUST040566,Gold,100000,70460,Active
CC500219,CUST027979,Gold,100000,10331,Active
CC500220,CUST003756,Classic,50000,37194,Active
CC500221,CUST020164,Platinum,200000,53250,Active
CC500222,CUST047114,Platinum,200000,152081,Active
CC500223,CUST031431,Gold,100000,39257,Active
CC500224,CUST045572,Gold,100000,51955,Active
CC500225,CUST004873,Classic,50000,21442,Active
CC500226,CUST023826,Gold,100000,38361,Active
CC500227,CUST010121,Gold,100000,89864,Blocked
CC500228,CUST031549,Platinum,200000,117182,Active
CC500229,CUST033896,Classic,50000,26132,Active
CC500230,CUST013752,Classic,50000,8821,Active
CC500231,CUST006989,Platinum,200000,188692,Active
CC500232,CUST025022,Platinum,200000,57022,Active
CC500233,CUST003893,Gold,100000,76936,Active
CC500234,CUST006904,Gold,100000,85482,Active
CC500235,CUST042924,Platinum,200000,146104,Active
CC500236,CUST039531,Platinum,200000,15289,Active
CC500237,CUST044964,Classic,50000,34070,Active
CC500238,CUST039184,Gold,100000,73712,Active
CC500239,CUST020972,Platinum,200000,143396,Active
CC500240,CUST044517,Gold,100000,77926,Active
CC500241,CUST020887,Gold,100000,55101,Active
CC500242,CUST014661,Platinum,200000,183350,Active
CC500243,CUST046605,Gold,100000,4651,Active
CC500244,CUST020723,Classic,50000,45388,Active
CC500245,CUST017210,Gold,100000,92627,Active
CC500246,CUST048721,Classic,50000,21257,Active
CC500247,CUST046708,Classic,50000,1018,Active
CC500248,CUST041745,Classic,50000,33501,Active
CC500249,CUST000065,Gold,100000,24312,Active
CC500250,CUST044147,Classic,50000,17810,Active
CC500251,CUST017643,Classic,50000,45645,Active
CC500252,CUST042254,Gold,100000,25928,Active
CC500253,CUST027069,Platinum,200000,25490,Active
CC500254,CUST028212,Platinum,200000,123951,Active
CC500255,CUST044508,Platinum,200000,9747,Active
CC500256,CUST043971,Gold,100000,65217,Active
CC500257,CUST029222,Gold,100000,718,Active
CC500258,CUST046525,Classic,50000,35949,Active
CC500259,CUST009571,Platinum,200000,189844,Active
CC500260,CUST047648,Gold,100000,24710,Active
CC500261,CUST009327,Gold,100000,58135,Active
CC500262,CUST028548,Classic,50000,35288,Active
CC500263,CUST047705,Classic,50000,26513,Active
CC500264,CUST013041,Classic,50000,16260,Active
CC500265,CUST018116,Platinum,200000,76406,Active
CC500266,CUST010444,Platinum,200000,51572,Active
CC500267,CUST010644,Platinum,200000,157240,Active
CC500268,CUST039117,Gold,100000,49692,Active
CC500269,CUST024030,Classic,50000,6713,Active
CC500270,CUST023261,Gold,100000,64286,Active
CC500271,CUST019887,Classic,50000,6540,Active
CC500272,CUST023611,Classic,50000,464,Active
CC500273,CUST036372,Classic,50000,43522,Active
CC500274,CUST028291,Gold,100000,18689,Active
CC500275,CUST020137,Gold,100000,58246,Active
CC500276,CUST024436,Platinum,200000,6426,Active
CC500277,CUST024423,Gold,100000,78760,Active
CC500278,CUST006924,Classic,50000,37471,Active
CC500279,CUST041337,Platinum,200000,55759,Active
CC500280,CUST015432,Classic,50000,40786,Active
CC500281,CUST047048,Platinum,200000,129958,Active
CC500282,CUST039287,Classic,50000,31034,Active
CC500283,CUST037546,Platinum,200000,76994,Active
CC500284,CUST025468,Classic,50000,45912,Active
CC500285,CUST018288,Classic,50000,6607,Active
CC500286,CUST034546,Platinum,200000,40929,Active
CC500287,CUST045175,Classic,50000,16008,Active
CC500288,CUST023005,Platinum,200000,107642,Active
CC500289,CUST034483,Gold,100000,87945,Active
CC500290,CUST005855,Gold,100000,82779,Active
CC500291,CUST041433,Platinum,200000,73698,Active
CC500292,CUST007900,Platinum,200000,71030,Active
CC500293,CUST027596,Classic,50000,10462,Active
CC500294,CUST014653,Platinum,200000,4580,Active
CC500295,CUST036224,Platinum,200000,32700,Active
CC500296,CUST048422,Platinum,200000,36287,Active
CC500297,CUST037574,Classic,50000,16381,Active
CC500298,CUST042218,Platinum,200000,135407,Active
CC500299,CUST047186,Gold,100000,23911,Active
CC500300,CUST004275,Platinum,200000,31714,Active
CC500301,CUST013814,Gold,100000,64641,Active
CC500302,CUST031262,Platinum,200000,100840,Active
CC500303,CUST038100,Gold,100000,82584,Active
CC500304,CUST005727,Platinum,200000,38662,Active
CC500305,CUST012108,Platinum,200000,58038,Active
CC500306,CUST026664,Platinum,200000,81129,Active
CC500307,CUST045441,Gold,100000,33711,Active
CC500308,CUST014885,Platinum,200000,164439,Active
CC500309,CUST048793,Classic,50000,8258,Active
CC500310,CUST032428,Platinum,200000,82949,Active
CC500311,CUST026534,Classic,50000,26942,Active
CC500312,CUST027606,Gold,100000,71729,Active
CC500313,CUST008280,Gold,100000,2429,Active
CC500314,CUST041426,Classic,50000,4407,Active
CC500315,CUST035432,Platinum,200000,44841,Active
CC500316,CUST033584,Gold,100000,60181,Active
CC500317,CUST023578,Classic,50000,40424,Active
CC500318,CUST035565,Gold,100000,40139,Active
CC500319,CUST019440,Gold,100000,32594,Active
CC500320,CUST037725,Platinum,200000,86232,Active
CC500321,CUST012034,Platinum,200000,33851,Active
CC500322,CUST046627,Gold,100000,43484,Active
CC500323,CUST030023,Classic,50000,39522,Active
CC500324,CUST008113,Classic,50000,15644,Active
CC500325,CUST000062,Classic,50000,24291,Active
CC500326,CUST012247,Classic,50000,19699,Active
CC500327,CUST006723,Gold,100000,21020,Active
CC500328,CUST004550,Gold,100000,78878,Active
CC500329,CUST011362,Platinum,200000,175513,Active
CC500330,CUST007223,Classic,50000,39951,Active
CC500331,CUST021681,Classic,50000,8289,Active
CC500332,CUST006988,Gold,100000,78293,Active
CC500333,CUST022833,Gold,100000,68323,Active
CC500334,CUST027667,Gold,100000,99941,Active
CC500335,CUST015356,Classic,50000,23173,Active
CC500336,CUST004951,Gold,100000,73104,Active
CC500337,CUST011181,Platinum,200000,125698,Active
CC500338,CUST004407,Gold,100000,52145,Active
CC500339,CUST011145,Classic,50000,48582,Active
CC500340,CUST027529,Platinum,200000,30057,Active
CC500341,CUST021121,Gold,100000,43620,Active
CC500342,CUST022459,Gold,100000,14144,Active
CC500343,CUST017711,Classic,50000,27830,Active
CC500344,CUST038423,Classic,50000,9129,Active
CC500345,CUST032937,Gold,100000,94706,Active
CC500346,CUST025403,Platinum,200000,198254,Active
CC500347,CUST013059,Gold,100000,69751,Blocked
CC500348,CUST042107,Gold,100000,45038,Active
CC500349,CUST043217,Platinum,200000,182578,Active
CC500350,CUST037079,Classic,50000,22499,Active
CC500351,CUST003669,Classic,50000,36057,Active
CC500352,CUST045245,Gold,100000,90064,Active
CC500353,CUST047563,Platinum,200000,100208,Active
CC500354,CUST038102,Platinum,200000,10457,Active
CC500355,CUST015303,Platinum,200000,47529,Active
CC500356,CUST042161,Gold,100000,18114,Active
CC500357,CUST028247,Gold,100000,20547,Active
CC500358,CUST041438,Gold,100000,15389,Active
CC500359,CUST049510,Classic,50000,14127,Active
CC500360,CUST044384,Gold,100000,49232,Active
CC500361,CUST002914,Gold,100000,29852,Active
CC500362,CUST019488,Platinum,200000,126656,Active
CC500363,CUST031317,Classic,50000,43667,Active
CC500364,CUST002076,Platinum,200000,157775,Active
CC500365,CUST032685,Gold,100000,17720,Active
CC500366,CUST044978,Gold,100000,48122,Active
CC500367,CUST029087,Gold,100000,17508,Active
CC500368,CUST019483,Platinum,200000,133385,Active
CC500369,CUST019329,Gold,100000,95883,Active
CC500370,CUST019298,Platinum,200000,146307,Active
CC500371,CUST047134,Classic,50000,11778,Active
CC500372,CUST047480,Gold,100000,26603,Active
CC500373,CUST041492,Classic,50000,23142,Active
CC500374,CUST024899,Classic,50000,41032,Active
CC500375,CUST025299,Platinum,200000,59725,Active
CC500376,CUST043734,Gold,100000,3949,Active
CC500377,CUST039443,Platinum,200000,55888,Active
CC500378,CUST002851,Gold,100000,12827,Active
CC500379,CUST027417,Platinum,200000,6681,Active
CC500380,CUST025034,Gold,100000,30219,Active
CC500381,CUST006253,Platinum,200000,194026,Active
CC500382,CUST022712,Gold,100000,14817,Active
CC500383,CUST012369,Classic,50000,31371,Active
CC500384,CUST046975,Gold,100000,5213,Active
CC500385,CUST030873,Platinum,200000,114282,Active
CC500386,CUST029514,Classic,50000,23252,Active
CC500387,CUST007230,Gold,100000,58325,Active
CC500388,CUST033280,Gold,100000,67984,Active
CC500389,CUST015209,Classic,50000,23998,Active
CC500390,CUST021839,Classic,50000,23646,Active
CC500391,CUST041933,Platinum,200000,46216,Active
CC500392,CUST040817,Platinum,200000,165904,Active
CC500393,CUST002936,Platinum,200000,97237,Active
CC500394,CUST035723,Platinum,200000,111982,Active
CC500395,CUST008818,Classic,50000,21201,Active
CC500396,CUST036629,Gold,100000,85615,Active
CC500397,CUST012559,Platinum,200000,38573,Active
CC500398,CUST031431,Gold,100000,30594,Active
CC500399,CUST028445,Classic,50000,30890,Active
CC500400,CUST030128,Classic,50000,1745,Active
CC500401,CUST011005,Gold,100000,30625,Active
CC500402,CUST004028,Classic,50000,4616,Active
CC500403,CUST035145,Gold,100000,55359,Active
CC500404,CUST047049,Gold,100000,92233,Active
CC500405,CUST046908,Platinum,200000,63921,Active
CC500406,CUST014115,Gold,100000,40589,Active
CC500407,CUST041912,Gold,100000,6023,Active
CC500408,CUST001690,Gold,100000,4307,Active
CC500409,CUST034653,Classic,50000,46122,Active
CC500410,CUST012089,Gold,100000,3562,Active
CC500411,CUST004453,Gold,100000,7143,Active
CC500412,CUST020525,Gold,100000,38182,Active
CC500413,CUST041259,Gold,100000,6330,Active
CC500414,CUST007859,Platinum,200000,61118,Active
CC500415,CUST028469,Platinum,200000,162753,Active
CC500416,CUST043360,Classic,50000,49834,Active
CC500417,CUST028206,Gold,100000,97040,Active
CC500418,CUST018083,Gold,100000,46611,Active
CC500419,CUST002596,Platinum,200000,52562,Active
CC500420,CUST027866,Gold,100000,43887,Active
CC500421,CUST039423,Gold,100000,59094,Active
CC500422,CUST004653,Gold,100000,37329,Active
CC500423,CUST041786,Platinum,200000,77572,Active
CC500424,CUST009539,Classic,50000,28120,Active
CC500425,CUST004856,Gold,100000,84908,Active
CC500426,CUST001456,Gold,100000,62750,Active
CC500427,CUST042408,Gold,100000,40955,Active
CC500428,CUST021923,Platinum,200000,147757,Active
CC500429,CUST046227,Gold,100000,84188,Active
CC500430,CUST011195,Platinum,200000,82512,Active
CC500431,CUST030833,Gold,100000,28010,Active
CC500432,CUST011280,Classic,50000,22656,Active
CC500433,CUST027941,Platinum,200000,118721,Active
CC500434,CUST040476,Gold,100000,37973,Active
CC500435,CUST031863,Platinum,200000,172522,Active
CC500436,CUST035793,Gold,100000,75133,Active
CC500437,CUST041410,Platinum,200000,54193,Active
CC500438,CUST029290,Classic,50000,2738,Active
CC500439,CUST042005,Gold,100000,83351,Active
CC500440,CUST021860,Classic,50000,1644,Active
CC500441,CUST045546,Gold,100000,82552,Active
CC500442,CUST020516,Gold,100000,41097,Active
CC500443,CUST015288,Platinum,200000,32315,Active
CC500444,CUST009081,Classic,50000,11932,Active
CC500445,CUST009586,Platinum,200000,174778,Active
CC500446,CUST006142,Platinum,200000,89572,Active
CC500447,CUST006107,Platinum,200000,25411,Active
CC500448,CUST001117,Classic,50000,28535,Active
CC500449,CUST017050,Platinum,200000,50555,Active
CC500450,CUST029534,Classic,50000,42096,Active
CC500451,CUST014379,Platinum,200000,47251,Active
CC500452,CUST001778,Platinum,200000,99824,Active
CC500453,CUST041156,Gold,100000,9257,Active
CC500454,CUST017249,Classic,50000,49789,Active
CC500455,CUST043220,Platinum,200000,11922,Active
CC500456,CUST004397,Classic,50000,47990,Active
CC500457,CUST042754,Platinum,200000,88467,Active
CC500458,CUST009678,Classic,50000,5050,Blocked
CC500459,CUST008285,Platinum,200000,195105,Active
CC500460,CUST017849,Platinum,200000,65722,Active
CC500461,CUST021554,Platinum,200000,89618,Active
CC500462,CUST007080,Platinum,200000,30368,Active
CC500463,CUST030942,Gold,100000,3747,Active
CC500464,CUST004412,Classic,50000,48431,Active
CC500465,CUST020210,Platinum,200000,167577,Active
CC500466,CUST046469,Classic,50000,9977,Active
CC500467,CUST004519,Gold,100000,69856,Active
CC500468,CUST023069,Gold,100000,89040,Active
CC500469,CUST038710,Gold,100000,99888,Active
CC500470,CUST025249,Gold,100000,52040,Active
CC500471,CUST044026,Classic,50000,46280,Active
CC500472,CUST016837,Classic,50000,17006,Active
CC500473,CUST013415,Classic,50000,12271,Active
CC500474,CUST039501,Platinum,200000,157202,Active
CC500475,CUST014939,Classic,50000,15683,Active
CC500476,CUST004212,Platinum,200000,187063,Active
CC500477,CUST001111,Platinum,200000,194366,Active
CC500478,CUST008362,Classic,50000,38533,Active
CC500479,CUST035909,Gold,100000,17280,Active
CC500480,CUST032968,Classic,50000,15280,Active
CC500481,CUST033459,Gold,100000,25931,Active
CC500482,CUST011116,Platinum,200000,121546,Active
CC500483,CUST013584,Platinum,200000,39956,Active
CC500484,CUST029133,Classic,50000,3172,Active
CC500485,CUST021342,Gold,100000,16401,Active
CC500486,CUST020244,Platinum,200000,23275,Active
CC500487,CUST045150,Platinum,200000,54179,Active
CC500488,CUST025259,Platinum,200000,65919,Active
CC500489,CUST041805,Platinum,200000,70296,Active
CC500490,CUST021986,Platinum,200000,51903,Active
CC500491,CUST015592,Gold,100000,9587,Active
CC500492,CUST029835,Gold,100000,96873,Active
CC500493,CUST032492,Gold,100000,96252,Active
CC500494,CUST025744,Platinum,200000,73083,Active
CC500495,CUST022282,Platinum,200000,191620,Active
CC500496,CUST004056,Platinum,200000,30425,Active
CC500497,CUST049798,Classic,50000,29824,Active
CC500498,CUST025055,Platinum,200000,69561,Active
CC500499,CUST028981,Platinum,200000,106675,Active
CC500500,CUST043080,Classic,50000,42905,Active
CC500501,CUST017311,Classic,50000,4016,Active
CC500502,CUST035796,Classic,50000,39661,Active
CC500503,CUST035082,Platinum,200000,165359,Active
CC500504,CUST016351,Gold,100000,44489,Active
CC500505,CUST000554,Classic,50000,12746,Active
CC500506,CUST001778,Platinum,200000,89856,Active
CC500507,CUST043541,Platinum,200000,119365,Active
CC500508,CUST005619,Platinum,200000,97250,Active
CC500509,CUST042491,Classic,50000,17776,Active
CC500510,CUST023955,Classic,50000,17194,Active
CC500511,CUST022774,Platinum,200000,49160,Active
CC500512,CUST039879,Platinum,200000,129516,Active
CC500513,CUST031862,Classic,50000,34404,Active
CC500514,CUST037116,Gold,100000,49289,Active
CC500515,CUST033594,Platinum,200000,9552,Active
CC500516,CUST013604,Classic,50000,24880,Active
CC500517,CUST002964,Platinum,200000,42387,Active
CC500518,CUST027083,Platinum,200000,182556,Active
CC500519,CUST032162,Gold,100000,75728,Active
CC500520,CUST038372,Gold,100000,80093,Active
CC500521,CUST031222,Gold,100000,32623,Active
CC500522,CUST002224,Classic,50000,22212,Active
CC500523,CUST013885,Classic,50000,4861,Active
CC500524,CUST018268,Classic,50000,849,Active
CC500525,CUST043592,Platinum,200000,125687,Active
CC500526,CUST005392,Classic,50000,35746,Active
CC500527,CUST031213,Gold,100000,35854,Active
CC500528,CUST006295,Classic,50000,22137,Active
CC500529,CUST006659,Classic,50000,33175,Active
CC500530,CUST026268,Platinum,200000,84216,Active
CC500531,CUST000356,Platinum,200000,72373,Active
CC500532,CUST042422,Gold,100000,68020,Active
CC500533,CUST038142,Gold,100000,71482,Active
CC500534,CUST049537,Platinum,200000,198488,Active
CC500535,CUST008094,Classic,50000,16436,Active
CC500536,CUST043882,Platinum,200000,176683,Active
CC500537,CUST009451,Classic,50000,25082,Active
CC500538,CUST001337,Classic,50000,30952,Active
CC500539,CUST040065,Gold,100000,78883,Blocked
CC500540,CUST014859,Classic,50000,27305,Active
CC500541,CUST017916,Gold,100000,24185,Active
CC500542,CUST034951,Gold,100000,56563,Active
CC500543,CUST026161,Classic,50000,25538,Active
CC500544,CUST015796,Classic,50000,21366,Active
CC500545,CUST007382,Platinum,200000,183154,Active
CC500546,CUST026883,Classic,50000,33815,Active
CC500547,CUST037011,Gold,100000,58468,Active
CC500548,CUST032225,Gold,100000,58131,Active
CC500549,CUST004926,Platinum,200000,144625,Active
CC500550,CUST036118,Gold,100000,98109,Active
CC500551,CUST017924,Classic,50000,10425,Active
CC500552,CUST009226,Classic,50000,17822,Active
CC500553,CUST019687,Gold,100000,66429,Active
CC500554,CUST012626,Classic,50000,17812,Active
CC500555,CUST013105,Classic,50000,21670,Active
CC500556,CUST020422,Platinum,200000,131885,Active
CC500557,CUST016996,Classic,50000,44820,Active
CC500558,CUST025988,Classic,50000,13052,Active
CC500559,CUST013484,Platinum,200000,21870,Active
CC500560,CUST019747,Platinum,200000,148536,Active
CC500561,CUST037288,Platinum,200000,3197,Active
CC500562,CUST021395,Platinum,200000,135376,Active
CC500563,CUST006077,Classic,50000,26933,Active
CC500564,CUST030136,Classic,50000,13279,Active
CC500565,CUST024679,Classic,50000,35102,Active
CC500566,CUST048215,Platinum,200000,101535,Active
CC500567,CUST011452,Classic,50000,44626,Active
CC500568,CUST005771,Classic,50000,20265,Active
CC500569,CUST014472,Platinum,200000,43357,Active
CC500570,CUST045819,Platinum,200000,173229,Active
CC500571,CUST018541,Platinum,200000,55115,Active
